coordenador id;nome;afiliacao;ref id;ref nome;estado
4395908702363702;Elen Beatriz Carneiro Pinto;Escola Bahiana de Medicina e Saúde Pública, EBMSP, Brasil.;2188084232837529;Elen Beatriz Carneiro Pinto;Bahia
9935354654905236;Maria Andréia Formico Rodrigues;Universidade de Fortaleza, UNIFOR, Brasil.;9935354654905236;Maria Andréia Formico Rodrigues;Ceará
6532978866871255;Camila Rosa de Oliveira;Atitus Educação, CESME, Brasil.;6532978866871255;Camila Rosa de Oliveira;Rio Grande do Sul
3954065076810604;Caio Saraiva Coneglian;Universidade de Marília, UNIMAR, Brasil.;3954065076810604;Caio Saraiva Coneglian;São Paulo
8809343991667852;Rodrigo Alves Tubelo;Zenith - Educação Continuada, ZENITH, Brasil.;8809343991667852;Rodrigo Alves Tubelo;Santa Catarina
8133566402951621;Mauricio Müller;Companhia Paranaense de Energia, COPEL, Brasil.;8133566402951621;Mauricio Müller;Paraná
1459797138770378;Maria de Fatima Queiroz Vieira;Universidade Federal de Campina Grande, UFCG, Brasil.;1459797138770378;Maria de Fatima Queiroz Vieira;Paraíba
7423190778887548;Bruno Jareta de Oliveira;Faculdades Integradas de Bauru, FIB, Brasil.;7423190778887548;Bruno Jareta de Oliveira;São Paulo
6453730824686103;Neusa Mariza Leite Rodrigues Felix;Universidade do Oeste de Santa Catarina, UNOESC, Brasil.;6453730824686103;Neusa Mariza Leite Rodrigues Felix;Santa Catarina
4203796463405720;Antonio Fernando Catelli Infantosi;Coordenação dos Programas de Pós Graduação de Engenharia, COPPE, Brasil.;2417304816874825;Antonio Fernando Catelli Infantosi;Rio de Janeiro
8984999624053884;Regina de Oliveira Heidrich;Universidade Feevale, FEEVALE, Brasil.;8984999624053884;Regina de Oliveira Heidrich;Rio Grande do Sul
3530349002004775;Sergio Antunes de Almeida;Centro Universitário Filadélfia, UNIFIL, Brasil.;3530349002004775;Sergio Antunes de Almeida;Bahia
2339773434595512;Isaura da Cunha Seppi;Centro Universitário Senac, SENAC/SP, Brasil.;8901320181295016;Isaura da Cunha Seppi;São Paulo
9919663948518178;Victor Hugo do Vale Bastos;Universidade Federal do Piauí, UFPI, Brasil.;9919663948518178;Victor Hugo do Vale Bastos;Piauí
3653836933415249;Renato de Souza Melo;Faculdade de Tecnologia de Curitiba, FATEC - PR, Brasil.;3653836933415249;Renato de Souza Melo;Paraná
8012781178161885;Claudia Santos Oliveira;Universidade Nove de Julho, UNINOVE, Brasil.;8012781178161885;Claudia Santos Oliveira;São Paulo
0618657760457327;Christianne Soares Falcão;UniFBV Wyden, UNIFBV, Brasil.;618657760457327;Christianne Soares Falcão;Pernambucano
3074180949976799;Matheus Silva d'Alencar;Universidade Estadual do Sudoeste da Bahia, UESB, Brasil.;3074180949976799;Matheus Silva d'Alencar;Bahia
4119162366965074;Rodrigo Santiago Barbosa Rocha;Universidade do Estado do Pará, UEPA, Brasil.;4119162366965074;Rodrigo Santiago Barbosa Rocha;Pará
9404581635835762;Chao Lung Wen;Faculdade de Medicina da USP, FMUSP, Brasil.;9671955058119882;Chao Lung Wen;São Paulo
9233721956392610;Dariel de Carvalho;Centro Universitário Sagrado Coração, UNISAGRADO, Brasil.;9233721956392610;Dariel de Carvalho;São Paulo
6964518972629491;Ana Paula Espindula;Associação de Pais e Amigos dos Excepcionais - Uberaba-MG, APAE, Brasil.;6964518972629491;Ana Paula Espindula;Minas Gerais
2540729402102453;Wender Faleiro;Universidade Federal de Catalão, UFCAT, Brasil.;2540729402102453;Wender Faleiro;Goiás
0416601437290797;Marta Rosecler Bez;Centro Universitário Feevale, FEEVALE, Brasil.;416601437290797;Marta Rosecler Bez;Rio Grande do Sul
8068391785334566;Rodrigo Daminello Raimundo;Faculdade de Medicina do ABC, FMABC, Brasil.;8068391785334566;Rodrigo Daminello Raimundo;São Paulo
3068252812902262;William Robson Cordeiro Silva;Fundação de Apoio à Pesquisa do Estado do Rio Grande do Norte, FAPERN, Brasil.;3068252812902262;William Robson Cordeiro Silva;Rio Grande do Norte
3326184726476427;Simone Helena Tanoue Vizioli;Instituto de Arquitetura e Urbanismo de São Carlos, IAU USP, Brasil.;3326184726476427;Simone Helena Tanoue Vizioli;São Paulo
7547226068281112;Christiane Lanatovitz Prado Medeiros;Universidade de Araraquara, UNIARA, Brasil.;7547226068281112;Christiane Lanatovitz Prado Medeiros;São Paulo
5399173621955960;Andre Fernandes da Paz;Universidade Federal do Estado do Rio de Janeiro, UNIRIO, Brasil.;5399173621955960;Andre Fernandes da Paz;Rio de Janeiro
6227453953185916;Manuel Rangel Borges Neto;Instituto Federal do Sertão Pernambucano, IF-Sertão PE, Brasil.;6227453953185916;Manuel Rangel Borges Neto;Pernambuco
9364060009059018;Maria Isabel D Agostino Fleming;Museu de Arqueologia e Etnologia, MAE-USP, Brasil.;9364060009059018;Maria Isabel D Agostino Fleming;São Paulo
6150257777791594;Vanina Papini Góes Teixeira;Universidade Estadual de Ciências da Saúde de Alagoas, UNCISAL, Brasil.;6150257777791594;Vanina Papini Góes Teixeira;Alagoas
2583254908990488;Fernando de Telma Abdalla de Oliveira Cardoso Lemos;Universidade Federal do Vale do São Francisco, UNIVASF, Brasil.;2583254908990488;Fernando de Aguiar Lemos;Minas Gerais
3551273215361512;Letícia Fraga Matos Campos de Aquino;Prefeitura da Cidade do Rio de Janeiro, PM/RJ, Brasil.;683836610965593;Letícia Aquino;Rio de Janeiro
9200464668550566;Edmar Candeia Gurjão;Instituto Avançado de Tecnologia e Inovação - IATI, IATI, Brasil.;944963449027456;Edmar Candeia Gurjão;
3358435384188023;Maria Valéria Marquezini;Universidade Paulista, UNIP, Brasil.;8587567074814594;Maria Valeria Marquezini;Pernambuco
9683910365008491;Ari Timerman;Instituto Dante Pazzanese de Cardiologia, IDPC, Brasil.;3166552559200081;Ari Timerman;
9745937989094036;Carmelo Jose Albanez Bastos Filho;Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco, FACEPE, Brasil.;9745937989094036;Carmelo Jose Albanez Bastos Filho;Pernambuco
739489284822297;Carlos Henrique Rodrigues de Oliveira;Fundação Centro de Pesquisa e Desenvolvimento em Telecomunicações, CPqD, Brasil.;739489284822297;Carlos Henrique Rodrigues de Oliveira;
4578693731159389;José Antonio Apolinário Junior;Instituto Militar de Engenharia, IME, Brasil.;5556212442729541;José Antonio Apolinário Jr.;
6070243976579939;Mateus Augusto Silva Santos;Ericsson Telecomunicações - Matriz, ERICSSON, Brasil.;6070243976579939;Mateus Augusto Silva Santos;
