;Universidade de Brasília;BiTGroup - Grupo de Pesquisa em Sistemas Biométricos;15/05/2023;Bruno Luiggi Macchiavello ;Bruno Luiggi Macchiavello Espinoza;Ciências Exatas e da Terra;Inteligência Artificial;Distrito Federal
;Universidade Federal de Uberlândia;Blade-Runner;24/07/2022;Rita Maria da Silva Julia;-;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade Federal de Pernambuco;Business Management and Innovation;14/04/2023;Carina Frota Alves;-;Ciências Exatas e da Terra;Inteligência Artificial;Pernambuco
;Universidade Federal do Paraná;C3SL - Centro de Computação Científica e Software Livre;05/08/2022;Marcos Alexandre Castilho;-;Ciências Exatas e da Terra;Inteligência Artificial;Paraná
;Instituto Federal de Pernambuco;CAPACITE - Computação Avançada, Pesquisa Aplicada, Computação ;12/05/2023;Luciano de Souza Cabral;Francisco do Nascimento Júnior;Ciências Exatas e da Terra;Inteligência Artificial;Pernambuco
;Fundação Centro de Controle de Oncologia do Estado do Amazonas;CeconTech - Inovação Tecnológica em Oncologia  ;13/04/2023;Sthéfanny Caroline Mendes Azevedo;Sthéfanny Caroline Mendes Azevedo;Ciências da Saúde;Inteligência Artificial;Amazonas
;Instituto Tecnológico de Aeronáutica;Centro de Competência em Manufatura;06/09/2022;Alfredo Rocha de Faria;-;Engenharias;Inteligência Artificial;São Paulo
;Universidade de Taubaté;Centro de Energias Renováveis da UNITAU;08/02/2023;Gilberto Fisch;Ederaldo Godoy Júnior;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA;Centro de Estudos de Direito, Internet e Sociedade - CEDIS;17/02/2023;Laura Schertel Ferreira Mendes;Danilo Cesar Maganhoto Doneda;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Universidade de Brasília;Centro de Estudos em Comunicação, Tecnologia e Política (CTPol);21/07/2022;Vivian Patricia Peron Vieira;Vivian Patricia Peron Vieira;Ciências Sociais Aplicadas;Inteligência Artificial;Distrito Federal
;Universidade do Estado de Minas Gerais;Centro de Estudos Interdisciplinares de Direito e Inovação ;07/10/2022;Pablo Martins Bernardi Coelho;Cildo Giolo Júnior;Ciências Sociais Aplicadas;Inteligência Artificial;Minas Gerais
;Universidade de São Paulo;Centro de Finanças Aplicadas;03/03/2023;Eduardo Kazuo Kayo;-;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Universidade Estadual do Sudoeste da Bahia;Centro de Inovação e Pesquisa em Educação e Computação - CIPEC;12/04/2023;Alzira Ferreira da Silva;Alzira Ferreira da Silva;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Instituto Federal de Alagoas - Matriz;Centro de Pesquisa em Software;27/04/2023;Flávio Mota Medeiros;Flávio Mota Medeiros;Ciências Exatas e da Terra;Inteligência Artificial;Alagoas
;Universidade Estadual de Campinas;CENTRO DE TECNOLOGIA E ENGENHARIA AGROINDUSTRIAL - ;21/12/2022;Rafael Augustus de Oliveira;-;Ciências Agrárias;Inteligência Artificial;São Paulo
;Universidade do Extremo Sul Catarinense;CERTEC - Grupo de Pesquisa em Cerâmica Técnica;13/03/2023;Oscar Rubem Klegues Montedo;-;Engenharias;Inteligência Artificial;Santa Catarina
;Universidade Federal de Goiás;Cidades Geointeligentes;03/05/2023;Fabrizia Gioppo Nunes;Alex Mota dos Santos;Ciências Exatas e da Terra;Inteligência Artificial;Goiás
;Universidade La Salle - Canoas;Cidades Inteligentes;24/03/2023;Patricia Kayser Vargas Mangan;Patricia Kayser Vargas Mangan;Ciências Sociais Aplicadas;Inteligência Artificial;Rio Grande do Sul
;Universidade Federal de Ouro Preto;CIDENG - Grupo de Pesquisa em Ciência de Dados aplicada à ;06/05/2023;Júlia Castro Mendes;Tatiana Barreto dos Santos;Engenharias;Inteligência Artificial;Minas Gerais
;Universidade de São Paulo;CIDSGAM - Cidade, Direito, Sustentabilidade e Gestão Ambiental ;01/05/2023;Paulo Santos de Almeida;-;Ciências Sociais Aplicadas;Inteligência Artificial;São Paulo
;Centro Universitário Campo Limpo Paulista;Ciência da Computação;17/03/2023;Marta Ines Velazco Fontova;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
