lattes id;coordenador;ano inicio;ano fim;titulo;Assunto
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2018;2019;UFA21 - Conectividade 5G em Aplicações Coordenadas com Inteligência de Máquina;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2016;2017;UFA15 - Distribuição de Mídia em Sistemas 5G;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2013;2015;UFA12 - Desenvolvimento e Avaliação de Arquiteturas para ?Backhaul? Baseadas em LTE Usando o Simulador de Redes Opnet;5G
8758395845049687;;2021;Atual;SFI2 - Slicing future internet infrastructures;5G
8758395845049687;;2021;Atual;PORVIR-5G - programabilidade, orquestração e virtualização de redes em 5g;5G
8758395845049687;Daniel Fernandes Macedo;2019;2022;Controle Inteligente em 5G;5G
8758395845049687;;2017;2022;UNICOM: Modelos, Algoritmos, Protocolos e Técnicas de Comunicação sem Fio para a Nova Internet: de Cida- des Inteligentes a Internet das Coisas via Comunicação Máquina-a-Máquina;5G
2039871642254009;Zattar;2020;2022;UM ESTUDO E MONITORAMENTO DE RADIAÇÕES ELETROMAGNÉTICAS NÃO IONIZANTES EM AMBIENTES POPULACIONAIS;5G
2039871642254009;Zattar;2020;2022;O ESTUDO DA ARTE DA TECNOLOGIA CELULAR 6G: TECNOLOGIAS, DESAFIOS E OS RISCOS;5G
1301443198267856;;2022;Atual;Comunicações 6G: desafios, viabilidade, tendências, arquitetura e avaliação de desempenho;5G
3794198610723464;;2023;Atual;RESIDÊNCIA EM TIC - 5G;5G
7955837132687218;Jose Marcos Silva Nogueira;2021;Atual;PORVIR-5G  Programabilidade, Orquestração e Virtualização em Redes 5G;5G
7955837132687218;;2021;Atual;SFI2 - Fatiamento de Infraestruturas de Internet do Futuro;5G
7955837132687218;;2017;Atual;Fapemig Universal - UNIDaD: Comunicação Dispositivo-a-Dispositivo em Redes Móveis Convergentes com Redes Ópticas.;5G
9492423249629649;;2018;Atual;Redes de Comunicações Móveis de Próxima Geração;5G
9492423249629649;;2018;Atual;Contribuições para as Camadas Físicas e de Enlace em Sistemas de Telecomunicações;5G
5384555860195426;Ana Paula Salles Moura Fernandes;2005;2008;Título:·	Estudo de parâmetros potencialmente trombogênicos em usuárias de terapia de reposição hormonal (TH);5G
1934903225521860;Waslon Terllizzie Araújo Lopes;2023;Atual;Códigos Polares Aplicados a Canais com Desvanecimento Generalizado em Comunicações 5G;5G
9858319665065036;José Marcos Silva Nogueira;2021;Atual;PORVIR-5G - Programmability, Orchestration and Virtualization of 5G Networks;5G
9858319665065036;Juliano Araujo Wickboldt;2021;Atual;SFI2 - Slicing Future Internet Infrastructures;5G
2426252396325481;Augusto José Venâncio Neto;2022;Atual;Cibersegurança em network slicing para redes 5G;5G
8204869834246714;Elias P. Duarte Jr.;2022;Atual;CINEMA: Computação INteligente, Escalável, Móvel e Altamente disponível na Internet;5G
9572903915280374;Dimitra Simeonidou;2017;2018;5G City;5G
8801325729735529;SILVA, J. A. L.;2019;2022;Núcleo de Estudos em Tecnologias Emergentes para 5G (NEsT-5G);5G
3342039322796173;Thamyris da Silva Evangelista;2022;Atual;Caracterização numérica de antenas para recepção de sistemas de  comunicação móvel 5G;5G
2787725227134746;Marcelo Gonçalves Rubinstein;2021;Atual;Aplicações de Tecnologias para Redes Avançadas;5G
2787725227134746;Otto Carlos Muniz Bandeira Duarte;2019;Atual;ACCRUE - SFI: Infraestrutura Avançada e Colaborativa de Pesquisa para Internet do Futuro Segura;5G
4205779497458915;;2023;Atual;Novos Mecanismos para Gestão e Controle de Aplicações IoT com Multimídia, Segurança e Qualidade de Serviço;5G
4205779497458915;Yona Lopes;2021;2023;Projeto 5GIRLS: Inclusion of Women in Science through 5G Infrastructure for Ultra-Reliable and Low Latency Communications in Power System;5G
4983411711055340;Francisco Rafael Marques Lima;2023;Atual;BPI FUNCAP: Otimização e integração de tecnologias para redes 6G: IRS, EH, NOMA e RSMA;5G
4983411711055340;Francisco Rafael Marques Lima;2020;2022;BPI FUNCAP: Integração e Otimização de Tecnologias Emergentes em Redes de Comunicações Modernas;5G
4983411711055340;Francisco Rafael Marques Lima;2018;2019;PIBIC: OTIMIZAÇÃO DE SISTEMAS DE COMUNICAÇÕES MÓVEIS 5G COM COLHEITA DE ENERGIA;5G
4983411711055340;;2016;2018;UFC44: Formatação Híbrida de Feixes em MIMO Massivo para Sistemas de Comunicações Móveis 5G;5G
4983411711055340;Tarcísio Ferreira Maciel;2014;2016;UFC40: Quality of Service Provision and Control for 5th Generation Wireless Systems;5G
4827519792214924;Moacyr Martucci Junior;2017;2021;5G Range - Remote area Access Network for 5th GEneration;5G
4827519792214924;;2017;2018;Dialogo Setorial BR-EU O impacto das tecnologias 5G e IoT em regiões de baixa densidade populacional: inclusão digital e agricultura inteligente;5G
4827519792214924;;2015;2016;Dialogo Setorial BR-EU -5G o Futuro das Telecomunicações Móveis no Brasil e Europa;5G
6238219709706103;;2018;Atual;Avaliação do desvanecimento na faixa de ondas milimétricas (mm-Wave);5G
1403715441701958;Alfredo Gomes Neto;2021;2022;INVESTIGAÇÃO DE FSS BASEADAS NA GEOMETRIA MATRIOSKA EM CASCATA;5G
1403715441701958;Alfredo Gomes Neto;2019;2020;IMPLEMENTAÇÃO DE FILTROS EM GUIA DE ONDAS INTEGRADOS AO SUBSTRATO - SIW;5G
1322699438617278;Leonardo Didier Coelho;2022;Atual;Alimentação Elétrica por Fibra Óptica para Internet das Coisas e Sistemas 5G;5G
9200464668550566;Edmar Candeia Gurjão;2022;Atual;Estado da Arte e  Avaliação de Técnicas de Aprendizado de Máquina para Segurança Cibernética;5G
9200464668550566;PERKUSICH, ANGELO;2020;Atual;Desenvolvimento e Implementação de Técnicas Baseadas em Redes Móveis, Computação em Borda e Inteligência Artificial para Viabilização da Telemedicina;5G
7112277465715838;;2018;2019;Técnicas de modulação com multiportadoras aplicadas a quinta geração das comunicações móveis (5G);5G
1786889674911887;;2022;Atual;Beyond 5G Virtuelle Umgebung für Cybersicherheitstests von V2X-Systemen;5G
1786889674911887;;2018;2020;Processamento de sinais para comunicações sem fio 5G em sistemas MIMO massivo e MIMO banda larga;5G
