coordenador id;nome;afiliacao;ref id;ref nome
329075888279673;Leonardo Didier Coelho;Universidade Federal de Pernambuco, UFPE, Brasil.;1322699438617278;Leonardo Didier Coelho
9439858291700830;Angelo Perkusich;Universidade Federal de Campina Grande, UFCG, Brasil.;9200464668550566;PERKUSICH, ANGELO
9622051867672434;Joao Crisóstomo Weyl Albuquerque Costa;Universidade Federal do Pará, UFPA, Brasil.;1972007941497086;João Crisóstomo Weyl Albuquerque Costa
268732896111424;Kleber Vieira Cardoso;Universidade Federal de Goiás, UFG, Brasil.;268732896111424;Kleber Vieira Cardoso
8886634592087842;Antonio Alfredo Ferreira Loureiro;Universidade Federal de Minas Gerais, UFMG, Brasil.;268732896111424;Antonio Alfredo Ferreira Loureiro
2247619809331876;André Augusto Mariano;Universidade Federal do Paraná, UFPR, Brasil.;2247619809331876;André Augusto Mariano
4263720213605827;Marcia Teresinha Veit;Universidade Estadual do Oeste do Paraná, UNIOESTE, Brasil.;4263720213605827;Marcia Teresinha Veit
8587567074814594;Tereza Cristina Melo de Brito Carvalho;Universidade de São Paulo, USP, Brasil.;3190608911887258;Tereza Cristina Melo de Brito Carvalho
3190608911887258;Flávio de Oliveira Silva;Universidade Federal de Uberlândia, UFU, Brasil.;3190608911887258;Flávio de Oliveira Silva
5335075258111851;Raimundo Sampaio Neto;Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.;988752099361706;RAIMUNDO SAMPAIO-NETO
5988817460788034;Alexandre Jean René Serres;Universidade Federal de Campina Grande, UFCG, Brasil.;5988817460788034;Alexandre Jean René Serres
9683910365008491;Ari Timerman;Instituto Dante Pazzanese de Cardiologia, IDPC, Brasil.;3166552559200081;Ari Timerman
3776300004312848;Djamel Fawzi Hadj Sadok;Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, Brasil.;3776300004312848;Djamel Fawzi Hadj Sadok
7227781646829609;Paulo Cardieri;Universidade Estadual de Campinas, UNICAMP, Brasil.;7227781646829609;Paulo Cardieri
